epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.0982,0,39.7383,0,0,0,0,0,0,23.567,0,0,0,0,0,0,0,0,0
2,59.9366,0,39.675,0,0,0,0,0,0,23.5734,0,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05
3,85.6802,0,39.7941,0,0,0,0,0,0,23.5787,0,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05
4,110.744,0,39.664,0,0,0,0,0,0,23.582,0,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05
5,134.751,0,39.7214,0,0,0,0,0,0,23.5836,0,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05
6,159.343,0,39.5975,0,0,0,0,0,0,23.5845,0,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05
7,183.032,0,39.6122,0,0,0,0,0,0,23.5826,0,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05
8,203.849,0,39.5427,0,0,0,0,0,0,23.5778,0,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05
9,226.983,0,39.4792,0,0,0,0,0,0,23.5706,0,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05
10,247.849,0,39.5404,0,0,0,0,0,0,23.5624,0,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692
11,269.482,0,39.3524,0,0,0,0,0,0,23.5515,0,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606
12,290.782,0,39.2828,0,0,0,0,0,0,23.5386,0,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954
13,313.81,0,39.1589,0,0,0,0,0,0,23.5231,0,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736
