epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2364,3.0125,4.02826,2.49863,0.0089,0.26228,0.13424,0.05319,2.77276,3.86825,2.05822,0.0001625,0.0001625,0.0001625
2,179.057,2.42924,3.76921,1.94558,0.02381,0.38989,0.15578,0.03029,2.4982,3.81368,1.87069,0.000330818,0.000330818,0.000330818
3,263.51,2.00645,3.31667,1.61275,0.01575,0.40678,0.08113,0.02091,2.46005,3.67393,1.7737,0.000492205,0.000492205,0.000492205
4,348.069,1.83053,2.71724,1.51968,0.01326,0.30228,0.04642,0.02305,2.28192,3.62077,1.82227,0.000646662,0.000646662,0.000646662
5,429.525,1.71778,2.2816,1.46677,0.01585,0.38828,0.107,0.04958,2.23548,3.38424,1.78736,0.00079419,0.00079419,0.00079419
6,515.716,1.53005,1.89541,1.34863,0.64019,0.05167,0.16115,0.07843,2.26438,3.18311,1.83203,0.000934788,0.000934788,0.000934788
7,650.03,1.46129,1.70575,1.3096,0.94209,0.09333,0.34999,0.1667,2.29023,2.96983,1.97088,0.00106846,0.00106846,0.00106846
8,817.073,1.45356,1.63448,1.34122,0.29005,0.21373,0.28095,0.10345,2.49962,2.69543,2.07711,0.00107675,0.00107675,0.00107675
9,965.999,1.3383,1.44733,1.25146,0.32421,0.38115,0.30137,0.11828,2.27276,2.44326,1.98898,0.001052,0.001052,0.001052
10,1108.4,1.25127,1.28453,1.18666,0.5754,0.28506,0.40443,0.16535,2.3687,2.78497,2.10511,0.00102725,0.00102725,0.00102725
11,1206.74,1.13193,1.15691,1.12845,0.37292,0.12559,0.31636,0.10637,2.22997,3.08821,1.95127,0.0010025,0.0010025,0.0010025
12,1305.61,1.12279,1.14396,1.1477,0.74828,0.08336,0.20115,0.11048,2.12812,3.03124,1.92174,0.00097775,0.00097775,0.00097775
13,1403.49,1.11838,1.08482,1.11388,0.4384,0.17376,0.27945,0.13507,2.05413,3.12936,2.00165,0.000953,0.000953,0.000953
14,1497.29,1.06132,1.0481,1.10661,0.78776,0.37222,0.43302,0.23317,1.94051,2.78848,1.96497,0.00092825,0.00092825,0.00092825
15,1583.8,1.01693,1.02448,1.09881,0.59802,0.29824,0.40939,0.22651,2.02417,2.62632,1.99795,0.0009035,0.0009035,0.0009035
16,1672.7,0.97058,0.95085,1.05775,0.8168,0.51089,0.53838,0.29031,2.03797,1.93784,1.97517,0.00087875,0.00087875,0.00087875
17,1760.36,1.01721,0.98436,1.085,0.73372,0.65433,0.66662,0.34649,1.90451,1.60636,1.9344,0.000854,0.000854,0.000854
18,1847.6,0.92998,0.89729,1.04491,0.48343,0.55766,0.51775,0.23917,1.95832,2.16763,1.96821,0.00082925,0.00082925,0.00082925
19,1936.45,0.91678,0.88931,1.03604,0.82077,0.64676,0.66587,0.36282,1.82209,1.57593,1.93817,0.0008045,0.0008045,0.0008045
20,2025.47,0.91196,0.85866,1.03258,0.39674,0.4997,0.48075,0.20011,1.97346,2.41686,1.89288,0.00077975,0.00077975,0.00077975
21,2117.52,0.9525,0.87894,1.04909,0.57924,0.61942,0.61225,0.31939,1.84472,2.03107,1.85634,0.000755,0.000755,0.000755
22,2204.04,0.91728,0.87479,1.03842,0.20214,0.25321,0.23355,0.11689,1.88322,2.76701,1.86617,0.00073025,0.00073025,0.00073025
23,2290.3,0.85962,0.82967,1.01386,0.49343,0.51627,0.4578,0.23977,1.9336,2.2546,1.82819,0.0007055,0.0007055,0.0007055
24,2385.37,0.87532,0.83694,1.01853,0.55113,0.36979,0.43825,0.24516,1.84169,2.60659,1.77279,0.00068075,0.00068075,0.00068075
25,2489.59,0.88299,0.81018,1.01977,0.61386,0.38901,0.45212,0.23603,1.98501,2.24887,1.89759,0.000656,0.000656,0.000656
26,2586.29,0.81752,0.76456,1.0005,0.70333,0.41884,0.48903,0.27925,1.7958,2.27847,1.83368,0.00063125,0.00063125,0.00063125
27,2694.51,0.78733,0.73772,0.97816,0.80202,0.57504,0.62756,0.3533,1.78192,1.8273,1.84687,0.0006065,0.0006065,0.0006065
28,2828.99,0.78802,0.74941,0.98192,0.59673,0.35365,0.5221,0.28618,1.89347,2.34484,1.97487,0.00058175,0.00058175,0.00058175
29,2926.15,0.77345,0.73683,0.96747,0.60955,0.503,0.551,0.31165,1.775,2.09403,1.86625,0.000557,0.000557,0.000557
30,3017.44,0.78251,0.75849,0.9906,0.47482,0.51625,0.44194,0.25656,1.75827,2.32445,1.81628,0.00053225,0.00053225,0.00053225
31,3107.92,0.7447,0.72671,0.97359,0.44856,0.48159,0.49338,0.28111,1.75843,2.36838,1.79707,0.0005075,0.0005075,0.0005075
32,3195.66,0.7412,0.69701,0.95959,0.9098,0.43166,0.59029,0.32168,1.71898,2.06052,1.79324,0.00048275,0.00048275,0.00048275
33,3283.43,0.73341,0.70064,0.9644,0.75078,0.39036,0.51082,0.26045,1.81788,2.58558,1.82842,0.000458,0.000458,0.000458
34,3374.44,0.79214,0.72573,0.98614,0.56046,0.3968,0.5315,0.27271,1.79226,2.56393,1.87731,0.00043325,0.00043325,0.00043325
35,3462.78,0.74062,0.71358,0.95478,0.81516,0.43856,0.56695,0.30928,1.75801,2.27053,1.8504,0.0004085,0.0004085,0.0004085
36,3548.33,0.70379,0.67034,0.95171,0.1884,0.24972,0.29551,0.13847,1.88548,2.92384,1.88069,0.00038375,0.00038375,0.00038375
37,3635.97,0.67782,0.65216,0.94354,0.42298,0.50064,0.37256,0.19579,1.73764,2.46759,1.77269,0.000359,0.000359,0.000359
38,3725.09,0.70034,0.68651,0.96043,0.67831,0.53344,0.53486,0.30679,1.69306,2.0459,1.78467,0.00033425,0.00033425,0.00033425
39,3812.09,0.68235,0.64176,0.93742,0.4956,0.4906,0.36796,0.21894,1.74701,2.50842,1.81258,0.0003095,0.0003095,0.0003095
40,3902.04,0.69851,0.65647,0.9522,0.42501,0.44009,0.34655,0.19346,1.77689,2.72265,1.85049,0.00028475,0.00028475,0.00028475
41,3985.74,0.47935,0.71475,0.87023,0.65193,0.48775,0.51031,0.30238,1.69566,2.21918,1.85057,0.00026,0.00026,0.00026
42,4066.59,0.4598,0.60288,0.85534,0.60539,0.51174,0.53074,0.32459,1.7098,2.19947,1.85507,0.00023525,0.00023525,0.00023525
43,4151.87,0.43646,0.57556,0.85996,0.58119,0.42498,0.49095,0.30657,1.68688,2.43591,1.80716,0.0002105,0.0002105,0.0002105
44,4239.8,0.40747,0.54158,0.85129,0.39745,0.40841,0.35799,0.21056,1.71632,2.56245,1.78551,0.00018575,0.00018575,0.00018575
45,4302.59,0.40267,0.50562,0.83899,0.3921,0.40678,0.37331,0.22247,1.69785,2.58305,1.77254,0.000161,0.000161,0.000161
46,4360.57,0.38452,0.49862,0.84181,0.44715,0.43498,0.45158,0.27226,1.678,2.39244,1.78538,0.00013625,0.00013625,0.00013625
47,4426.07,0.38928,0.50535,0.84736,0.40054,0.4164,0.43908,0.24399,1.71961,2.49651,1.80482,0.0001115,0.0001115,0.0001115
48,4514.62,0.35217,0.4802,0.83047,0.37208,0.34339,0.41647,0.22549,1.76981,2.58117,1.83687,8.675e-05,8.675e-05,8.675e-05
49,4604.55,0.37441,0.49421,0.84027,0.36463,0.36537,0.39428,0.21507,1.74845,2.52413,1.82758,6.2e-05,6.2e-05,6.2e-05
50,4686.57,0.36386,0.48687,0.82302,0.38581,0.38363,0.39612,0.20502,1.73361,2.53681,1.812,3.725e-05,3.725e-05,3.725e-05
